ID;latitude;longitude;tags
1782417737;40.3407478;23.9139091;[]
1782417738;40.3410042;23.9133011;[]
1782417739;40.3409207;23.9134481;[]
1782417740;40.3410014;23.9130534;[]
1782417741;40.3409697;23.9131801;[]
1782417742;40.3406817;23.9122488;[]
1782417743;40.3407944;23.9125932;[]
1782417744;40.3407987;23.9127773;[]
1782417745;40.3409182;23.912857;[]
1782417746;40.3409807;23.9129333;[]
1782417747;40.3408485;23.9128488;[]
1782417748;40.3404694;23.9119108;[]
1782417749;40.3405951;23.9121209;[]
1782417750;40.3404901;23.9119804;[]
1782417751;40.3405149;23.9120841;[]
1782417752;40.3404105;23.9117319;[]
1782417753;40.3403741;23.9116639;[]
1782417754;40.3399755;23.9111894;[]
1782417755;40.339956;23.9112436;[]
1782417756;40.3398737;23.9112306;[]
1782417757;40.3398087;23.9111981;[]
1782417758;40.3402571;23.9113021;[]
1782417759;40.3403178;23.9113627;[]
1782417760;40.3403178;23.9114256;[]
1782417761;40.3401575;23.9113064;[]
1782417762;40.340008;23.9113216;[]
1782417763;40.3399907;23.9111916;[]
1782417764;40.340086;23.9113302;[]
1782417765;40.3403178;23.9114646;[]
1782417766;40.3398029;23.9103686;[]
1782417767;40.3397134;23.910754;[]
1782417768;40.3397329;23.910962;[]
1782417769;40.3397285;23.9105309;[]
1782417770;40.339696;23.9096297;[]
1782417771;40.339722;23.9100001;[]
1782417772;40.3397849;23.9101734;[]
1782417773;40.3395902;23.9090297;[]
1782417774;40.3396443;23.9094273;[]
1782417775;40.3396443;23.9091185;[]
1782417776;40.339679;23.9092575;[]
1782417777;40.3396702;23.9095285;[]
1782417778;40.3396395;23.9094824;[]
1782417779;40.3391315;23.9087073;[]
1782417780;40.3389922;23.9083386;[]
1782417781;40.3390357;23.9085215;[]
1782417782;40.339085;23.9084896;[]
1782417783;40.339117;23.9085622;[]
1782417784;40.3393811;23.9087451;[]
1782417785;40.3384348;23.9077842;[]
1782417786;40.3383942;23.9080919;[]
1782417787;40.3383783;23.908373;[]
1782417788;40.3384744;23.9085259;[]
1782417789;40.3384155;23.9073515;[]
1782417790;40.3378482;23.907506;[]
1782417791;40.3380391;23.907142;[]
1782417792;40.3379343;23.9072506;[]
1782417793;40.3381478;23.90701;[]
1782417794;40.337119;23.9070723;[]
1782417795;40.3371001;23.9069596;[]
1782417796;40.3375353;23.907355;[]
1782417797;40.3376947;23.9074634;[]
1782417798;40.3373965;23.9072543;[]
1782417799;40.336934;23.9062065;[]
1782417800;40.3369231;23.9064544;[]
1782417801;40.3369634;23.9066304;[]
1782417802;40.3367432;23.9059872;[]
1782417803;40.3368156;23.9060969;[]
1782417804;40.336877;23.9060969;[]
1782417805;40.3369143;23.9061385;[]
1782417806;40.3369121;23.9061758;[]
1782417807;40.3366533;23.9057503;[]
1782417808;40.3367059;23.9058139;[]
1782417809;40.3365158;23.9033359;[]
1782417810;40.3367118;23.904418;[]
1782417811;40.3365977;23.903605;[]
1782417812;40.3365567;23.9034704;[]
1782417813;40.336545;23.9038331;[]
1782417814;40.3364719;23.9039998;[]
1782417815;40.3364719;23.9041168;[]
1782417816;40.3365275;23.904225;[]
1782417817;40.3366445;23.9043186;[]
1782417818;40.3365743;23.9042835;[]
1782417819;40.3365363;23.9049679;[]
1782417820;40.3367176;23.9045555;[]
1782417821;40.3366357;23.9046228;[]
1782417822;40.3365275;23.9047602;[]
1782417823;40.3365918;23.9045935;[]
1782417824;40.3365363;23.9046491;[]
1782417825;40.3365487;23.9053108;[]
1782417826;40.3365187;23.9052019;[]
1782417827;40.3365363;23.9054593;[]
2343276540;40.3324613;23.9194729;[]
2483881514;40.3287626;23.9229777;[]
2483881515;40.3289074;23.9229323;[]
2483881516;40.3290846;23.9230597;[]
2483881517;40.3290603;23.9238242;[]
2483881518;40.3290755;23.9239442;[]
2483881519;40.3291975;23.9235788;[]
2483881520;40.3292354;23.922797;[]
2483881521;40.3293726;23.9227779;[]
2483881522;40.3293726;23.9233757;[]
2483881523;40.330403;23.9231934;[]
2483881524;40.3295102;23.9228055;[]
2483881525;40.3295533;23.9232651;[]
2483881526;40.3296552;23.9227199;[]
2483881527;40.3296599;23.9232638;[]
2483881528;40.329674;23.9220229;[]
2483881529;40.32978;23.9225904;[]
2483881530;40.3299689;23.9229182;[]
2483881532;40.3300983;23.9231289;[]
2483881533;40.3301225;23.9234047;[]
2483881534;40.3302312;23.9226184;[]
2483881535;40.330307;23.9219872;[]
2483881536;40.330449;23.9229627;[]
2483881537;40.3305054;23.9223344;[]
2483881538;40.3305103;23.9229548;[]
2483881539;40.330567;23.9217143;[]
2483881540;40.3307245;23.9226981;[]
2483881541;40.3307705;23.9220315;[]
2483881542;40.3308473;23.9190705;[]
2483881543;40.3310009;23.9223968;[]
2483881544;40.3311033;23.9211419;[]
2483881546;40.3311297;23.9222443;[]
2483881547;40.3313399;23.9194744;[]
2483881548;40.3313647;23.9225549;[]
2483881550;40.3314801;23.9224362;[]
2483881551;40.3315558;23.9228188;[]
2483881553;40.3317868;23.9221119;[]
2483881555;40.3318533;23.9202141;[]
2483881557;40.3320807;23.9217977;[]
2483881559;40.3322364;23.9216448;[]
2483881561;40.3322654;23.9197937;[]
2483881563;40.3322522;23.922842;[]
2483881565;40.3323132;23.9221353;[]
2483881569;40.3324453;23.9231282;[]
2483881573;40.3325155;23.9204195;[]
2483881575;40.3326646;23.9230161;[]
2483881577;40.3325605;23.9224976;[]
2483881579;40.3326349;23.921277;[]
2483881581;40.3326119;23.9217855;[]
2483881583;40.3326783;23.9209501;[]
2483881585;40.3327503;23.9214219;[]
2483881587;40.3327581;23.9199834;[]
2483881591;40.3327922;23.9228593;[]
2483881593;40.3328055;23.9215196;[]
2483881595;40.332867;23.9221394;[]
2483881601;40.3329514;23.9213153;[]
2483881605;40.3330671;23.9198132;[]
2483881607;40.333113;23.9225094;[]
2483881609;40.333159;23.9218214;[]
2483881611;40.3331603;23.9212908;[]
2483881615;40.3333033;23.9205182;[]
2483881617;40.3333638;23.9196494;[]
2483881618;40.3333851;23.9222015;[]
2483881620;40.3334439;23.9229874;[]
2483881622;40.3335395;23.9212514;[]
2483881624;40.3336879;23.921865;[]
2483881625;40.3337186;23.9227179;[]
2483881626;40.3338866;23.920617;[]
2483881627;40.3338893;23.9225185;[]
2483881628;40.3339466;23.9211588;[]
2483881629;40.3339554;23.9227191;[]
